,Unnamed: 0.1,Unnamed: 0,home_team_name,HomePlayer1,HomePlayer2,HomePlayer3,HomePlayer4,HomePlayer5,HomePlayer6,HomePlayer7,HomePlayer8,HomePlayer9,HomePlayer10,HomePlayer11,away_team_name,AwayPlayer1,AwayPlayer2,AwayPlayer3,AwayPlayer4,AwayPlayer5,AwayPlayer6,AwayPlayer7,AwayPlayer8,AwayPlayer9,AwayPlayer10,AwayPlayer11,matchweek,home_score,away_score,matchweek_num,home_GD_prior,away_GD_prior,home_GD_form,away_GD_form,home_Points_prior,away_Points_prior,home_Points_form,away_Points_form,B365A,B365D,B365H
0,0,0,Bayern Munich,Manuel Neuer,Mats Hummels,Thiago Alcántara,Franck Ribéry,Javi Martínez,Robert Lewandowski,Xabi Alonso,Philipp Lahm,Arturo Vidal,Thomas Müller,David Alaba,Werder Bremen,Felix Wiedwald,Luca Caldirola,Robert Bauer,Sambou Yatabaré,Clemens Fritz,Aron Jóhannsson,Fallou Diagne,Fin Bartels,Theodor Gebre Selassie,Lamine Sané,Florian Grillitsch,Matchweek 1,6,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,10.0,1.1
1,1,1,Dortmund,Roman Bürki,Marc Bartra,Ousmane Dembélé,Pierre-Emerick Aubameyang,Sebastian Rode,André Schürrle,Shinji Kagawa,Sokratis Papastathopoulos,Gonzalo Castro,Marcel Schmelzer,Felix Passlack,Mainz 05,Jonas Lössl,Giulio Donati,Leon Balogun,Yunus Mallı,Stefan Bell,Daniel Brosinski,Fabian Frei,Karim Onisiwo,Jean-Philippe Gbamin,Christian Clemens,Suat Serdar,Matchweek 1,2,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5,5.0,1.36
2,2,2,Hamburger SV,René Adler,Cléber,Johan Djourou,Bobby Wood,Michael Gregoritsch,Aaron Hunt,Filip Kostić,Matthias Ostrzolek,Gōtoku Sakai,Nicolai Müller,Gideon Jung,Ingolstadt 04,Ørjan Nyland,Markus Suttner,Alfredo Morales,Mathew Leckie,Roger,Moritz Hartmann,Pascal Groß,Dario Lezcano,Romain Brégerie,Tobias Levels,Marvin Matip,Matchweek 1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,3.2,2.2
3,3,3,Eint Frankfurt,Lukáš Hrádecký,Guillermo Varela,Bastian Oczipka,Szabolcs Huszti,Mijat Gaćinović,Alexander Meier,Michael Hector,David Abraham,Makoto Hasebe,Branimir Hrgota,Omar Mascarell,Schalke 04,Ralf Fährmann,Júnior Caiçara,Benedikt Höwedes,Johannes Geis,Sead Kolašinac,Max Meyer,Franco Di Santo,Eric Maxim Choupo-Moting,Dennis Aogo,Klaas-Jan Huntelaar,Naldo,Matchweek 1,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,3.3,3.4
4,4,4,Köln,Timo Horn,Frederik Sørensen,Dominic Maroh,Marco Höger,Marcel Risse,Artjoms Rudņevs,Jonas Hector,Mërgim Mavraj,Leonardo Bittencourt,Anthony Modeste,Matthias Lehmann,Darmstadt 98,Michael Esser,Alexander Milošević,Mario Vrančić,Artem Fedetskyi,Jérôme Gondorf,Marcel Heller,Immanuel Höhn,Änis Ben-Hatira,László Kleinheisler,Fabian Holland,Sven Schipplock,Matchweek 1,2,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.75,3.5,1.8
5,5,5,Augsburg,Marwin Hitz,Paul Verhaegh,Kostas Stafylidis,Jeffrey Gouweleeuw,Daniel Baier,Christoph Janker,Koo Ja-cheol,Dominik Kohr,Raúl Bobadilla,Alfreð Finnbogason,Caiuby,Wolfsburg,Koen Casteels,Jeffrey Bruma,Daniel Caligiuri,Julian Draxler,Daniel Didavi,Bas Dost,Yannick Gerhardt,Jakub Błaszczykowski,Luiz Gustavo,Robin Knoche,Ricardo Rodríguez,Matchweek 1,0,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,3.25,2.8
6,6,6,Gladbach,Yann Sommer,Andreas Christensen,Tobias Strobl,Christoph Kramer,Raffael,Lars Stindl,Ibrahima Traoré,Oscar Wendt,Tony Jantschke,André Hahn,Nico Elvedi,Leverkusen,Bernd Leno,Jonathan Tah,Hakan Çalhanoğlu,Julian Baumgartlinger,Tin Jedvaj,Wendell,Charles Aránguiz,Ömer Toprak,Kevin Volland,Karim Bellarabi,Kevin Kampl,Matchweek 1,2,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,3.4,2.3
7,7,7,Hertha BSC,Rune Jarstein,Peter Pekarík,Per Ciljan Skjelbred,Vladimír Darida,Sebastian Langkamp,Vedad Ibišević,Marvin Plattenhardt,Mitchell Weiser,Genki Haraguchi,John Brooks,Fabian Lustenberger,Freiburg,Alexander Schwolow,Aleksandar Ignjovski,Çağlar Söyüncü,Manuel Gulde,Amir Abrashi,Florian Niederlechner,Janik Haberer,Maximilian Philipp,Nicolas Höfler,Christian Günter,Vincenzo Grifo,Matchweek 1,2,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,3.3,2.15
8,8,8,Hoffenheim,Oliver Baumann,Pavel Kadeřábek,Fabian Schär,Sebastian Rudy,Lukas Rupp,Sandro Wagner,Mark Uth,Kevin Vogt,Niklas Süle,Andrej Kramarić,Philipp Ochs,RB Leipzig,Péter Gulácsi,Willi Orban,Marcel Sabitzer,Yussuf Poulsen,Timo Werner,Stefan Ilsanker,Benno Schmitz,Marcel Halstenberg,Dominik Kaiser,Diego Demme,Marvin Compper,Matchweek 1,2,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,3.25,2.5
9,9,9,Schalke 04,Ralf Fährmann,Benedikt Höwedes,Leon Goretzka,Nabil Bentaleb,Yevhen Konoplyanka,Eric Maxim Choupo-Moting,Baba Rahman,Benjamin Stambouli,Klaas-Jan Huntelaar,Naldo,Matija Nastasić,Bayern Munich,Manuel Neuer,Mats Hummels,Thiago Alcántara,Franck Ribéry,Javi Martínez,Robert Lewandowski,Xabi Alonso,Philipp Lahm,Thomas Müller,David Alaba,Renato Sanches,Matchweek 2,0,2,2,-1.0,6.0,-1.0,6.0,0.0,3.0,0.0,3.0,1.3,5.5,10.0
