,Unnamed: 0.1,Unnamed: 0,home_team_name,HomePlayer1,HomePlayer2,HomePlayer3,HomePlayer4,HomePlayer5,HomePlayer6,HomePlayer7,HomePlayer8,HomePlayer9,HomePlayer10,HomePlayer11,away_team_name,AwayPlayer1,AwayPlayer2,AwayPlayer3,AwayPlayer4,AwayPlayer5,AwayPlayer6,AwayPlayer7,AwayPlayer8,AwayPlayer9,AwayPlayer10,AwayPlayer11,home_score,away_score,matchweek,matchweek_num,home_GD_prior,away_GD_prior,home_GD_form,away_GD_form,home_Points_prior,away_Points_prior,home_Points_form,away_Points_form,B365A,B365D,B365H
0,0,0,Málaga,Carlos Kameni,Weligton Oliveira,Vitorino Antunes,Ignacio Camacho,Roque Santa Cruz,Ricardo Horta,Roberto Rosales,Sergio Sánchez,Luis Alberto,Juanmi,Sergi Darder,Athletic Club,Gorka Iraizoz,Aymeric Laporte,Beñat Etxebarria,Ander Iturraspe,Iker Muniain,Markel Susaeta,Andoni Iraola,Mikel Rico,Carlos Gurpegui,Aritz Aduriz,Mikel Balenziaga,1,0,Matchweek 1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.45,3.3,2.8
1,1,1,Granada,Stole Dimitrievski,Allan Nyom,Fran Rico,Diego Mainz,Jean-Sylvain Babin,Héctor Yuste,Youssef El-Arabi,Abdoul Sissoko,Juankar,Rubén Rochina,Darwin Machís,La Coruña,Germán Lux,Roberto Canella,Pablo Insua,José Rodríguez,Juan Domínguez,Laure,Luisinho,Toché,Ivan Cavaleiro,Alberto Lopo,Luis Fariña,2,1,Matchweek 1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2,3.2,1.95
2,2,2,Sevilla,Beto,Fernando Navarro,Grzegorz Krychowiak,Daniel Carriço,Vicente Iborra,Carlos Bacca,Denis Suárez,Vitolo,Nicolás Pareja,Aleix Vidal,Coke,Valencia,Diego Alves,Rúben Vezo,Paco Alcácer,Daniel Parejo,Pablo Piatti,José Luis Gayà,Javi Fuego,Rodrigo,Antonio Barragán,André Gomes,Nicolás Otamendi,1,1,Matchweek 1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,3.5,2.05
3,3,3,Almería,Rubén,Michel,Mauro dos Santos,Verza,Tomer Hemed,Ángel Trujillo,Sebastián Dubarbier,Édgar Méndez,Jonathan Zongo,Thomas Partey,Fernando Soriano,Espanyol,Kiko Casilla,Víctor Sánchez,Víctor Álvarez,Salva Sevilla,Sergio García,Felipe Caicedo,David López,Diego Colotto,Álvaro González,Anaitz Arbilla,Paco Montañés,1,1,Matchweek 1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,3.3,2.55
4,4,4,Eibar,Xabi Irureta,Eneko Bóveda,Raúl Albentosa,Ander Capa,Jon Errasti,Ángel Rodríguez,Mikel Arruabarrena,Dani García,Raúl Navas,Javi Lara,Abraham Minero,Real Sociedad,Eñaut Zubikarai,Carlos Martínez,Gorka Elustondo,Markel Bergara,Iñigo Martínez,Esteban Granero,Imanol Agirretxe,Xabi Prieto,Sergio Canales,David Zurutuza,Yuri Berchiche,1,0,Matchweek 1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,3.4,3.25
5,5,5,Celta Vigo,Sergio Álvarez,Andreu Fontàs,Álex López,Nolito,Joaquín Larrivey,Fabián Orellana,Jonny Castro,Carles Planas,Gustavo Cabral,Michael Krohn-Dehli,Borja Fernández,Getafe,Vicente Guaita,Alexis,Roberto Lago,Sammir,Ángel Lafita,Álvaro Vázquez,Pablo Sarabia,Rafa,Diego Castro,Juan Valera Espín,Juan Rodríguez,3,1,Matchweek 1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.4,1.91
6,6,6,Barcelona,Claudio Bravo,Ivan Rakitić,Sergio Busquets,Andrés Iniesta,Lionel Messi,Rafinha,Javier Mascherano,Jordi Alba,Dani Alves,Jérémy Mathieu,Munir El Haddadi,Elche,Przemysław Tytoń,Damián Suárez,David Lombán,Pedro Mosquera,Ferran Corominas,Garry Rodrigues,José Ángel Alonso,Sergio Pelegrín,Edu Albácar,Jonathas,Mario Pašalić,3,0,Matchweek 1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,9.0,1.1
7,7,7,Levante,Jesús,David Navarro,David Barral,Nikolaos Karabelas,Issam El Adoua,Jordi Xumetra,Víctor Casadesús,Pedro López Muñoz,Andreas Ivanschitz,Simão Mate Junior,Víctor Camarasa,Villarreal,Sergio Asenjo,Víctor Ruiz,Ikechukwu Uche,Giovani dos Santos,Cani,Jaume Costa,Manu Trigueros,Denis Cheryshev,Gabriel Paulista,Bruno Soriano,Antonio Rukavina,0,2,Matchweek 1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,3.4,3.4
8,8,8,Real Madrid,Iker Casillas,Pepe,Sergio Ramos,Cristiano Ronaldo,Toni Kroos,Karim Benzema,James Rodríguez,Gareth Bale,Marcelo,Álvaro Arbeloa,Luka Modrić,Córdoba,Juan Carlos,Aleksandar Pantić,José Ángel Crespo,Fausto Rossi,Íñigo López,Adrián Gunino,José López Silva,Ryder Matos,Aritz López Garai,Mike Havenaar,Daniel Pinillos,2,0,Matchweek 1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,11.0,1.06
9,9,9,Rayo Vallecano,Cristian Álvarez,Tito,Jonathan Pereira,Raúl Baena,Roberto Trashorras,Gaël Kakuta,Abdoulaye Ba,Javier Aquino,Quini,Zé Castro,Alberto Bueno,Atlético Madrid,Miguel Ángel Moyá,Diego Godín,Guilherme Siqueira,Mario Suárez,Koke,Antoine Griezmann,Mario Mandžukić,Raúl Jiménez,Gabi,Juanfran,Miranda,0,0,Matchweek 1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,4.0,7.0
