,home_team_name,HomePlayer1,HomePlayer2,HomePlayer3,HomePlayer4,HomePlayer5,HomePlayer6,HomePlayer7,HomePlayer8,HomePlayer9,HomePlayer10,HomePlayer11,away_team_name,AwayPlayer1,AwayPlayer2,AwayPlayer3,AwayPlayer4,AwayPlayer5,AwayPlayer6,AwayPlayer7,AwayPlayer8,AwayPlayer9,AwayPlayer10,AwayPlayer11,home_score,away_score,matchweek
0,Málaga,Carlos Kameni,Bakary Koné,Diego Llorente,Ignacio Camacho,Juanpi,Recio,Federico Ricca,Roberto Rosales,Sandro Ramírez,Keko,Jony,Osasuna,Nauzet Pérez,Javier Flaño,Miguel Flaño,David García,Oier Sanjurjo,Oriol Riera,Fausto Tienza,Unai García,Juan Rafael Fuentes,Kenan Kodro,Miguel de las Cuevas,1,1,Matchweek 1
1,La Coruña,Germán Lux,Juanfran,Fernando Navarro,Pedro Mosquera,Raúl Albentosa,Lucas Pérez,Carles Gil,Sidnei,Fayçal Fajr,Guilherme,Bruno Gama,Eibar,Asier Riesgo,Álex Gálvez,Iván Ramis,Cristian Rivera,Ander Capa,Takashi Inui,Dani García,Kiké,David Juncà,Adrián González,Bebé,2,1,Matchweek 1
2,Barcelona,Claudio Bravo,Gerard Piqué,Ivan Rakitić,Sergio Busquets,Denis Suárez,Arda Turan,Luis Suárez,Lionel Messi,Jordi Alba,Sergi Roberto,Samuel Umtiti,Betis,Antonio Adán,Bruno González,Petros,Felipe Gutiérrez,Jonas Martin,Antonio Sanabria,Riza Durmisi,Álvaro Cejudo,Germán Pezzella,Aïssa Mandi,Rubén Castro,6,2,Matchweek 1
3,Granada,Guillermo Ochoa,Tito,Uche Henry Agbo,David Lombán,Javi Márquez,Ezequiel Ponce,Jeremie Boga,Jon Toral,Isaac Cuenca,Rene Krhin,Dimitri Foulquier,Villarreal,Sergio Asenjo,Mario Gaspar,Alfred N'Diaye,Mateo Musacchio,Víctor Ruiz,Alexandre Pato,Manu Trigueros,Nicola Sansone,Samu Castillejo,Roberto Soriano,Antonio Rukavina,1,1,Matchweek 1
4,Sevilla,Sergio Rico,Mariano,Luciano Vietto,Wissam Ben Yedder,Hiroshi Kiyotake,Steven Nzonzi,Pablo Sarabia,Vitolo,Nicolás Pareja,Franco Vázquez,Gabriel Mercado,Espanyol,Roberto,Rubén Duarte,Víctor Sánchez,Óscar Duarte,Gerard Moreno,Léo Baptistão,Javi López,Hernán Pérez,Pablo Piatti,Papakouli Diop,Álvaro González,6,4,Matchweek 1
5,Sporting Gijón,Iván Cuéllar,Jorge Meré,Fernando Amorebieta,Sergio Álvarez,Víctor Rodríguez,Nacho Cases,Burgui,Lillo,Isma López,Moi Gómez,Duje Čop,Athletic Club,Gorka Iraizoz,Eneko Bóveda,Aymeric Laporte,Mikel San José,Beñat Etxebarria,Iñaki Williams,Markel Susaeta,Óscar de Marcos,Aritz Aduriz,Raúl García,Mikel Balenziaga,2,1,Matchweek 1
6,Real Sociedad,Gerónimo Rulli,Mikel González,Asier Illarramendi,Markel Bergara,Iñigo Martínez,Juanmi,David Zurutuza,Mikel Oyarzabal,Yuri Berchiche,Joseba Zaldúa,David Concha,Real Madrid,Kiko Casilla,Dani Carvajal,Sergio Ramos,Raphaël Varane,Toni Kroos,Gareth Bale,Marcelo,Casemiro,Mateo Kovačić,Marco Asensio,Álvaro Morata,0,3,Matchweek 1
7,Atlético Madrid,Jan Oblak,Diego Godín,Filipe Luís,Tiago Mendes,Koke,Saúl Ñíguez,Yannick Carrasco,Gabi,Stefan Savić,Juanfran,Kévin Gameiro,Alavés,Fernando Pacheco,Raúl García,Alexis,Ibai Gómez,Daniel Torres,Édgar Méndez,Gaizka Toquero,Manu García,Kiko Femenía,Nenad Krstičić,Zouhair Feddal,1,1,Matchweek 1
8,Celta Vigo,Sergio Álvarez,Hugo Mallo,Marcelo Díaz,Theo Bongonda,Iago Aspas,Pione Sisto,Fabián Orellana,Daniel Wass,Jonny Castro,Sergi Gómez,Facundo Roncaglia,Leganés,Jon Ander Serantes,Unai Bustinza,Adrián Marín,Martín Mantovani,Alberto Martín,Gabriel,Miguel Ángel Guerrero,Diego Rico,Víctor Díaz,Unai López,David Timor,0,1,Matchweek 1
9,Valencia,Mathew Ryan,João Cancelo,Rúben Vezo,Enzo Pérez,Paco Alcácer,Daniel Parejo,José Luis Gayà,Álvaro Medrán,Martín Montoya,Santi Mina,Aymen Abdennour,Las Palmas,Javi Varas,Vicente Gómez,David García,Kevin-Prince Boateng,Nabil El Zhar,Marko Livaja,Michel,Roque Mesa,Pedro Bigas,Jonathan Viera,Dani Castellano,2,4,Matchweek 1
10,Betis,Antonio Adán,Petros,Felipe Gutiérrez,Antonio Sanabria,Cristiano Piccini,Riza Durmisi,Joaquín,Germán Pezzella,Fabián Ruiz Peña,Aïssa Mandi,Rubén Castro,La Coruña,Germán Lux,Juanfran,Fernando Navarro,Pedro Mosquera,Raúl Albentosa,Emre Çolak,Florin Andone,Sidnei,Fayçal Fajr,Guilherme,Bruno Gama,0,0,Matchweek 2
11,Espanyol,Roberto,Víctor Sánchez,Óscar Duarte,Gerard Moreno,Léo Baptistão,Javi López,Hernán Pérez,Javi Fuego,Pablo Piatti,Álvaro González,Marc Roca,Málaga,Carlos Kameni,Bakary Koné,Diego Llorente,Ignacio Camacho,Juanpi,Recio,Federico Ricca,Roberto Rosales,Sandro Ramírez,Keko,Jony,2,2,Matchweek 2
12,Eibar,Asier Riesgo,Álex Gálvez,Iván Ramis,Gonzalo Escalante,Ander Capa,Jota,Dani García,Kiké,Antonio Luna,Pedro León,Bebé,Valencia,Mathew Ryan,João Cancelo,Aderlan Santos,Mario Suárez,Enzo Pérez,Daniel Parejo,José Luis Gayà,Nani,Rodrigo,Santi Mina,Aymen Abdennour,1,0,Matchweek 2
13,Osasuna,Nauzet Pérez,Javier Flaño,Miguel Flaño,David García,Oier Sanjurjo,Oriol Riera,Unai García,Jaime Romero,Fran Mérida,Miguel de las Cuevas,Carlos Clerc,Real Sociedad,Gerónimo Rulli,Mikel González,Asier Illarramendi,Iñigo Martínez,Juanmi,Xabi Prieto,Rubén Pardo,David Zurutuza,Mikel Oyarzabal,Yuri Berchiche,Joseba Zaldúa,0,2,Matchweek 2
14,Real Madrid,Kiko Casilla,Dani Carvajal,Sergio Ramos,Raphaël Varane,Toni Kroos,Gareth Bale,Marcelo,Casemiro,Luka Modrić,Marco Asensio,Álvaro Morata,Celta Vigo,Sergio Álvarez,Hugo Mallo,Nemanja Radoja,Theo Bongonda,Pablo Hernández,John Guidetti,Fabián Orellana,Daniel Wass,Jonny Castro,Gustavo Cabral,Facundo Roncaglia,2,1,Matchweek 2
