,home_team_name,away_team_name,home_score,away_score,Matchweek,home_GD_prior,away_GD_prior,home_GD_form,away_GD_form,home_Points_prior,away_Points_prior,home_Points_form,away_Points_form,B365A,B365D,B365H,HomePlayer1_Overall,AwayPlayer1_Overall,HomePlayer2_Overall,AwayPlayer2_Overall,HomePlayer3_Overall,AwayPlayer3_Overall,HomePlayer4_Overall,AwayPlayer4_Overall,HomePlayer5_Overall,AwayPlayer5_Overall,HomePlayer6_Overall,AwayPlayer6_Overall,HomePlayer7_Overall,AwayPlayer7_Overall,HomePlayer8_Overall,AwayPlayer8_Overall,HomePlayer9_Overall,AwayPlayer9_Overall,HomePlayer10_Overall,AwayPlayer10_Overall,HomePlayer11_Overall,AwayPlayer11_Overall
0,Málaga,Sevilla,0,0,Matchweek 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.15,3.4,3.4,78,78,74,81,75,82,74.0,81,78,79,75,79,76,79,75,81,76,81,72,80,74,79
1,La Coruña,Real Sociedad,0,0,Matchweek 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.2,2.5,76,79,74,76,76,80,76.0,76,75,78,78,82,77,77,74,72,75,79,77,75,72,78
2,Espanyol,Getafe,1,0,Matchweek 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.33,3.4,1.91,70,77,71,76,76,74,73.0,76,75,74,78,77,74,78,76,70,76,76,73,74,69,76
3,Atlético Madrid,Las Palmas,1,0,Matchweek 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,6.5,1.2,81,68,85,73,82,73,81.0,76,83,71,83,71,79,72,84,71,80,72,81,76,78,69
4,Rayo Vallecano,Valencia,0,0,Matchweek 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.05,3.5,3.6,75,78,77,73,75,76,73.0,82,78,76,76,81,80,80,76,78,75,80,72,77,71,75
5,Athletic Club,Barcelona,0,1,Matchweek 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,4.33,6.5,79,83,75,84,83,86,72.0,84,80,88,78,90,78,94,80,79,73,83,82,84,79,80
6,Sporting Gijón,Real Madrid,0,0,Matchweek 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.22,6.5,13.0,76,79,74,87,76,82,75.0,93,72,87,74,87,76,83,72,87,72,78,71,84,76,80
7,Levante,Celta Vigo,1,2,Matchweek 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.15,3.3,3.6,75,69,75,78,75,77,75.0,77,75,78,76,82,73,79,74,77,76,76,72,77,78,79
8,Betis,Villarreal,1,1,Matchweek 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,3.25,2.8,75,76,72,79,76,78,73.0,80,75,79,74,78,75,77,74,77,71,81,75,73,79,68
9,Granada,Eibar,1,3,Matchweek 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,3.3,1.91,77,75,72,74,74,71,73.0,73,74,71,75,74,74,72,67,73,76,72,71,76,73,73
10,Villarreal,Espanyol,3,1,Matchweek 2,0.0,1.0,0.0,1.0,1.0,3.0,1.0,3.0,6.5,3.8,1.57,76,70,79,71,78,76,80.0,73,79,75,78,78,77,74,79,76,77,76,73,73,68,69
11,Real Sociedad,Sporting Gijón,0,0,Matchweek 2,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,4.5,3.5,1.85,79,76,79,74,80,76,76.0,75,78,72,82,74,77,76,66,72,79,72,75,71,78,76
12,Barcelona,Málaga,1,0,Matchweek 2,1.0,0.0,1.0,0.0,3.0,1.0,3.0,1.0,26.0,10.0,1.1,83,78,84,78,86,73,88.0,74,90,78,94,75,88,76,83,76,84,75,78,72,80,75
13,Celta Vigo,Rayo Vallecano,3,0,Matchweek 2,1.0,0.0,1.0,0.0,3.0,1.0,3.0,1.0,6.0,4.33,1.53,76,75,78,75,77,78,77.0,76,82,80,78,70,79,76,77,77,76,75,77,72,79,71
14,Real Madrid,Betis,5,0,Matchweek 2,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,26.0,10.0,1.1,79,75,87,72,82,72,93.0,74,87,76,86,73,87,75,87,74,83,75,87,71,80,79
15,Eibar,Athletic Club,2,0,Matchweek 2,2.0,-1.0,2.0,-1.0,3.0,0.0,3.0,0.0,2.1,3.1,4.0,71,79,74,76,71,75,73.0,83,71,72,74,80,72,77,73,77,72,80,76,82,73,70
16,Valencia,La Coruña,1,1,Matchweek 2,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,8.0,4.33,1.44,78,76,76,74,82,76,81.0,76,78,78,80,77,80,75,79,74,76,75,77,73,75,77
17,Sevilla,Atlético Madrid,0,3,Matchweek 2,0.0,1.0,0.0,1.0,1.0,3.0,1.0,3.0,2.63,3.2,2.8,78,81,81,85,82,81,80.0,83,81,83,79,79,81,79,81,80,80,78,79,81,80,78
18,Las Palmas,Levante,0,0,Matchweek 2,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,4.5,3.3,1.91,75,75,73,75,73,75,76.0,75,71,76,71,73,72,74,71,76,73,72,76,78,69,73
19,Getafe,Granada,1,2,Matchweek 2,-1.0,-2.0,-1.0,-2.0,0.0,0.0,0.0,0.0,4.0,3.2,2.05,77,77,76,73,74,74,69.0,74,76,74,74,75,78,70,70,76,76,75,76,73,72,76
20,Levante,Sevilla,1,1,Matchweek 3,-1.0,-3.0,-1.0,-3.0,1.0,1.0,1.0,1.0,1.75,3.75,4.75,75,78,75,81,75,82,76.0,74,77,79,73,76,74,79,76,77,72,81,78,80,73,80
21,Espanyol,Real Madrid,0,6,Matchweek 3,-1.0,5.0,-1.0,5.0,3.0,4.0,3.0,4.0,1.33,5.0,10.0,70,79,71,81,76,84,73.0,87,75,93,75,86,78,87,76,83,76,77,76,87,73,84
22,Sporting Gijón,Valencia,0,1,Matchweek 3,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.25,3.2,3.4,76,67,74,73,76,82,75.0,81,76,81,71,79,72,82,71,80,70,80,76,80,76,80
23,Atlético Madrid,Barcelona,1,2,Matchweek 3,4.0,2.0,4.0,2.0,6.0,6.0,6.0,6.0,2.3,3.2,3.3,81,82,85,84,82,86,81.0,88,83,90,83,88,79,79,79,83,80,84,81,78,78,80
24,Betis,Real Sociedad,1,0,Matchweek 3,-5.0,0.0,-5.0,0.0,1.0,2.0,1.0,2.0,3.2,3.3,2.3,75,79,72,77,72,79,76.0,76,73,78,59,82,76,77,75,66,74,79,75,75,79,78
25,Granada,Villarreal,1,3,Matchweek 3,-1.0,2.0,-1.0,2.0,3.0,4.0,3.0,4.0,2.25,3.1,3.5,77,76,73,79,74,78,74.0,80,74,79,75,77,70,79,76,76,75,77,73,73,76,68
26,Athletic Club,Getafe,3,1,Matchweek 3,-3.0,-2.0,-3.0,-2.0,0.0,0.0,0.0,0.0,7.0,3.75,1.57,79,77,80,76,80,74,78.0,74,70,74,77,76,80,71,79,78,82,70,80,76,74,74
27,Celta Vigo,Las Palmas,3,3,Matchweek 3,4.0,-1.0,4.0,-1.0,6.0,1.0,6.0,1.0,7.0,4.2,1.5,76,75,78,73,77,73,77.0,71,78,76,82,71,79,71,77,71,76,73,77,76,79,69
