,Unnamed: 0,home_team_name,HomePlayer1,HomePlayer2,HomePlayer3,HomePlayer4,HomePlayer5,HomePlayer6,HomePlayer7,HomePlayer8,HomePlayer9,HomePlayer10,HomePlayer11,away_team_name,AwayPlayer1,AwayPlayer2,AwayPlayer3,AwayPlayer4,AwayPlayer5,AwayPlayer6,AwayPlayer7,AwayPlayer8,AwayPlayer9,AwayPlayer10,AwayPlayer11,home_score,away_score,matchweek,matchweek_num,home_GD_prior,away_GD_prior,home_GD_form,away_GD_form,home_Points_prior,away_Points_prior,home_Points_form,away_Points_form
0,0,Roma,Wojciech Szczęsny,Radja Nainggolan,Leandro Paredes,Kevin Strootman,Edin Džeko,Mohamed Salah,Bruno Peres,Thomas Vermaelen,Emerson Palmieri,Kostas Manolas,Stephan El Shaarawy,Udinese,Orestis Karnezis,Samir Santos,Danilo Larangeira,Seko Fofana,Emmanuel Agyemang-Badu,Duván Zapata,Rodrigo De Paul,Emil Hallfreðsson,Silvan Widmer,Ali Adnan Kadhim,Thomas Heurtaux,4,0,Matchweek 1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,Juventus,Gianluigi Buffon,Giorgio Chiellini,Sami Khedira,Paulo Dybala,Alex Sandro,Andrea Barzagli,Mario Mandžukić,Mario Lemina,Leonardo Bonucci,Kwadwo Asamoah,Dani Alves,Fiorentina,Ciprian Tătărușanu,Gonzalo Rodríguez,Milan Badelj,Matías Vecino,Nikola Kalinić,Federico Bernardeschi,Davide Astori,Federico Chiesa,Marcos Alonso,Nenad Tomović,Josip Iličić,2,1,Matchweek 1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,Milan,Gianluigi Donnarumma,Giacomo Bonaventura,Suso,M'Baye Niang,Alessio Romagnoli,Riccardo Montolivo,Ignazio Abate,Gabriel Paletta,Luca Antonelli,Juraj Kucka,Carlos Bacca,Torino,Daniele Padelli,Cristian Molinaro,Afriyie Acquah,Andrea Belotti,Adem Ljajić,Luca Rossettini,Josef Martínez,Giuseppe Vives,Joel Obi,Emiliano Moretti,Lorenzo De Silvestri,3,2,Matchweek 1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3,Atalanta,Marco Sportiello,Rafael Tolói,Ervin Zukanović,Papu Gómez,Franck Kessié,Andrea Conti,Jasmin Kurtić,Leonardo Spinazzola,Alberto Paloschi,Cristian Raimondi,Boukary Dramé,Lazio,Federico Marchetti,Wesley Hoedt,Stefan de Vrij,Jordan Lukaku,Ricardo Kishna,Dušan Basta,Marco Parolo,Ciro Immobile,Lucas Biglia,Sergej Milinković-Savić,Cristiano Lombardi,3,4,Matchweek 1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4,Palermo,Josip Posavec,Roberto Vitiello,Andrea Rispoli,Slobodan Rajković,Oscar Hiljemark,Alessandro Gazzi,Thiago Cionek,Norbert Balogh,Haitam Aleesami,Robin Quaison,Accursio Bentivegna,Sassuolo,Andrea Consigli,Francesco Magnanelli,Luca Antei,Grégoire Defrel,Stefano Sensi,Federico Peluso,Francesco Acerbi,Matteo Politano,Luca Mazzitelli,Marcello Gazzola,Domenico Berardi,0,1,Matchweek 1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,5,Genoa,Eugenio Lamanna,Santiago Gentiletti,Armando Izzo,Nicolás Burdisso,Lucas Ocampos,Goran Pandev,Leonardo Pavoletti,Darko Lazović,Miguel Veloso,Tomás Rincón,Diego Laxalt,Cagliari,Marco Storari,Bruno Alves,Mauricio Isla,Davide Di Gennaro,Simone Padoin,Artur Ioniță,Marco Borriello,Luca Ceppitelli,Marco Capuano,Marco Sau,Nicola Murru,3,1,Matchweek 1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,6,Pescara,Albano Bizzarri,Cristiano Biraghi,Bryan Cristante,Valerio Verre,Ledian Memushaj,Ahmad Benali,Francesco Zampano,Gastón Brugman,Gianluca Caprari,Andrea Coda,Norbert Gyömbér,Napoli,Pepe Reina,Elseid Hysaj,Allan,Mirko Valdifiori,José Callejón,Marek Hamšík,Manolo Gabbiadini,Lorenzo Insigne,Kalidou Koulibaly,Faouzi Ghoulam,Raúl Albiol,2,2,Matchweek 1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,7,Bologna,Antonio Mirante,Emil Krafth,Erick Pulgar,Saphir Taïder,Ádám Nagy,Simone Verdi,Mattia Destro,Ladislav Krejčí,Domenico Maietta,Adam Masina,Daniele Gastaldello,Crotone,Alex Cordaz,Claiton,Marcus Rohdén,Raffaele Palladino,Adrian Stoian,Gian Marco Ferrari,Federico Ceccherini,Aniello Salzano,Mario Sampirisi,Bruno Martella,Simeon Nwankwo,1,0,Matchweek 1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8,Chievo,Stefano Sorrentino,Dario Dainelli,Ivan Radovanović,Boštjan Cesar,Massimo Gobbi,Lucas Castro,Valter Birsa,Fabrizio Cacciatore,Roberto Inglese,Përparim Hetemaj,Riccardo Meggiorini,Inter,Samir Handanović,Geoffrey Kondogbia,Mauro Icardi,Andrea Ranocchia,Gary Medel,Éver Banega,Éder,Miranda,Danilo D'Ambrosio,Yuto Nagatomo,Antonio Candreva,2,0,Matchweek 1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,9,Empoli,Alberto Pelagotti,Vincent Laurini,Massimo Maccarone,Riccardo Saponara,Andrea Costa,Raffaele Maiello,Manuel Pucciarelli,Manuel Pasqual,Uroš Ćosić,Marcel Büchel,Andrés Tello,Sampdoria,Emiliano Viviano,Jacopo Sala,Édgar Barreto,Luis Muriel,Ricky Álvarez,Karol Linetty,Vasco Regini,Daniel Pavlović,Matías Silvestre,Fabio Quagliarella,Lucas Torreira,0,1,Matchweek 1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
