,Unnamed: 0.1,Unnamed: 0,home_team_name,HomePlayer1,HomePlayer2,HomePlayer3,HomePlayer4,HomePlayer5,HomePlayer6,HomePlayer7,HomePlayer8,HomePlayer9,HomePlayer10,HomePlayer11,away_team_name,AwayPlayer1,AwayPlayer2,AwayPlayer3,AwayPlayer4,AwayPlayer5,AwayPlayer6,AwayPlayer7,AwayPlayer8,AwayPlayer9,AwayPlayer10,AwayPlayer11,home_score,away_score,matchweek,matchweek_num,home_GD_prior,away_GD_prior,home_GD_form,away_GD_form,home_Points_prior,away_Points_prior,home_Points_form,away_Points_form,B365A,B365D,B365H
0,0,0,Sampdoria,Emil Audero,Tommaso Augello,Filip Đuričić,Tomás Rincón,Francesco Caputo,Abdelhamid Sabiri,Ronaldo Vieira,Omar Colley,Bartosz Bereszyński,Alex Ferrari,Mehdi Léris,Atalanta,Juan Musso,Rafael Tolói,Joakim Mæhle,Caleb Okoli,Teun Koopmeiners,Luis Muriel,Marten de Roon,Berat Djimsiti,Hans Hateboer,Mario Pašalić,Duván Zapata,0,2,Matchweek 1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.75,3.9,4.33
1,1,1,Milan,Mike Maignan,Davide Calabria,Ismaël Bennacer,Brahim Díaz,Ante Rebić,Rafael Leão,Theo Hernández,Pierre Kalulu,Fikayo Tomori,Junior Messias,Rade Krunić,Udinese,Marco Silvestri,Adam Masina,Jean-Victor Makengo,Isaac Success,Gerard Deulofeu,Walace,Bram Nuytinck,Nehuén Pérez,Roberto Pereyra,Rodrigo Becão,Brandon Soppy,4,2,Matchweek 1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,4.75,1.44
2,2,2,Monza,Michele Di Gregorio,Pablo Marí,Marlon,Andrea Barberis,Mattia Valoti,Gianluca Caprari,Samuele Birindelli,Filippo Ranocchia,Carlos Augusto,Andrea Petagna,Marco D'Alessandro,Torino,Vanja Milinković-Savić,Antonio Sanabria,Ricardo Rodríguez,Wilfried Singo,Michel Ndary Adopo,Koffi Djidji,Samuele Ricci,Ola Aina,Nemanja Radonjić,Aleksei Miranchuk,Karol Linetty,1,2,Matchweek 1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.75,3.3,2.6
3,3,3,Lecce,Wladimiro Falcone,Yıldırım Mert Çetin,Federico Baschirotto,Kristijan Bistrović,Federico Di Francesco,Joan Gonzàlez,Valentin Gendrey,Antonino Gallo,Gabriel Strefezza,Morten Hjulmand,Assan Ceesay,Inter,Samir Handanović,Stefan de Vrij,Robin Gosens,Lautaro Martínez,Hakan Çalhanoğlu,Nicolò Barella,Federico Dimarco,Matteo Darmian,Milan Škriniar,Marcelo Brozović,Romelu Lukaku,1,2,Matchweek 1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.28,5.75,10.0
4,4,4,Fiorentina,Pierluigi Gollini,Cristiano Biraghi,Nikola Milenković,Giacomo Bonaventura,Luka Jović,Youssef Maleh,Marco Benassi,Lucas Martínez Quarta,Riccardo Sottil,Sofyan Amrabat,Christian Kouamé,Cremonese,Ionuț Radu,Johan Vásquez,Charles Pickel,Matteo Bianchetti,Leonardo Sernicola,Paolo Ghiglione,Vlad Chiricheș,Gonzalo Escalante,David Okereke,Cyriel Dessers,Luca Zanimacchia,3,2,Matchweek 1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5,5.0,1.36
5,5,5,Lazio,Luís Maximiano,Patric,Felipe Anderson,Alessio Romagnoli,Ciro Immobile,Mattia Zaccagni,Sergej Milinković-Savić,Manuel Lazzari,Danilo Cataldi,Adam Marušić,Toma Bašić,Bologna,Łukasz Skorupski,Adama Soumaoro,Nicolás Domínguez,Marko Arnautović,Nicola Sansone,Gary Medel,Roberto Soriano,Charalambos Lykogiannis,Lorenzo De Silvestri,Jerdy Schouten,Andrea Cambiaso,2,1,Matchweek 1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.75,4.33,1.57
6,6,6,Spezia,Bartłomiej Drągowski,Mehdi Bourabia,Daniele Verde,Emmanuel Gyasi,Arkadiusz Reca,Jakub Kiwior,M'Bala Nzola,Simone Bastoni,Mattia Caldara,Kevin Agudelo,Dimitris Nikolaou,Empoli,Guglielmo Vicario,Sam Lammers,Liam Henderson,Nedim Bajrami,Răzvan Marin,Mattia Destro,Filippo Bandinelli,Petar Stojanović,Sebastiano Luperto,Ardian Ismajli,Fabiano Parisi,1,0,Matchweek 1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,3.3,2.45
7,7,7,Salernitana,Luigi Sepe,Dylan Bronn,Federico Bonazzoli,Tonny Vilhena,Erik Botheim,Federico Fazio,Lassana Coulibaly,Grigoris Kastanos,Norbert Gyömbér,Pasquale Mazzocchi,Antonio Candreva,Roma,Rui Patrício,Rick Karsdorp,Roger Ibanez,Bryan Cristante,Chris Smalling,Lorenzo Pellegrini,Tammy Abraham,Paulo Dybala,Nicolò Zaniolo,Gianluca Mancini,Leonardo Spinazzola,0,1,Matchweek 1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.44,4.75,6.5
8,8,8,Hellas Verona,Lorenzo Montipò,Bruno Amione,Davide Faraoni,Darko Lazović,Thomas Henry,Kevin Lasagna,Ivan Ilić,Martin Hongla,Koray Günter,Paweł Dawidowicz,Adrien Tameze,Napoli,Alex Meret,Kim Min-jae,Mário Rui,Victor Osimhen,Hirving Lozano,Amir Rrahmani,Piotr Zieliński,Giovanni Di Lorenzo,Stanislav Lobotka,Khvicha Kvaratskhelia,Andre-Frank Zambo Anguissa,2,5,Matchweek 1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.05,3.5,3.5
9,9,9,Juventus,Mattia Perin,Gleison Bremer,Manuel Locatelli,Danilo,Weston McKennie,Dušan Vlahović,Juan Cuadrado,Alex Sandro,Leonardo Bonucci,Ángel Di María,Denis Zakaria,Sassuolo,Andrea Consigli,Kaan Ayhan,Rogério,Matheus Henrique,Domenico Berardi,Gian Marco Ferrari,Davide Frattesi,Mert Müldür,Kristian Thorstvedt,Giorgos Kyriakopoulos,Grégoire Defrel,3,0,Matchweek 1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,4.75,1.44
10,10,10,Torino,Vanja Milinković-Savić,Alessandro Buongiorno,Antonio Sanabria,Ricardo Rodríguez,Nikola Vlašić,Wilfried Singo,Koffi Djidji,Samuele Ricci,Ola Aina,Nemanja Radonjić,Karol Linetty,Lazio,Ivan Provedel,Patric,Matías Vecino,Felipe Anderson,Alessio Romagnoli,Ciro Immobile,Mattia Zaccagni,Sergej Milinković-Savić,Manuel Lazzari,Danilo Cataldi,Adam Marušić,0,0,Matchweek 2,2,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,2.3,3.5,3.0
11,11,11,Udinese,Marco Silvestri,Adam Masina,Jean-Victor Makengo,Isaac Success,Gerard Deulofeu,Walace,Destiny Udogie,Nehuén Pérez,Jaka Bijol,Roberto Pereyra,Rodrigo Becão,Salernitana,Luigi Sepe,Dylan Bronn,Federico Bonazzoli,Tonny Vilhena,Erik Botheim,Ivan Radovanović,Federico Fazio,Norbert Gyömbér,Giulio Maggiore,Pasquale Mazzocchi,Antonio Candreva,0,0,Matchweek 2,2,-2.0,-1.0,-2.0,-1.0,0.0,0.0,0.0,0.0,4.5,3.8,1.75
12,12,12,Inter,Samir Handanović,Denzel Dumfries,Stefan de Vrij,Lautaro Martínez,Hakan Çalhanoğlu,Nicolò Barella,Federico Dimarco,Milan Škriniar,Marcelo Brozović,Romelu Lukaku,Alessandro Bastoni,Spezia,Bartłomiej Drągowski,Mehdi Bourabia,Jacopo Sala,Emmanuel Gyasi,Arkadiusz Reca,Jakub Kiwior,M'Bala Nzola,Simone Bastoni,Mattia Caldara,Kevin Agudelo,Dimitris Nikolaou,3,0,Matchweek 2,2,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,15.0,8.0,1.16
13,13,13,Sassuolo,Andrea Consigli,Rogério,Matheus Henrique,Andrea Pinamonti,Domenico Berardi,Gian Marco Ferrari,Davide Frattesi,Jeremy Toljan,Maxime Lopez,Martin Erlic,Giorgos Kyriakopoulos,Lecce,Wladimiro Falcone,Federico Baschirotto,Kristijan Bistrović,Federico Di Francesco,Joan Gonzàlez,Valentin Gendrey,Antonino Gallo,Gabriel Strefezza,Alexis Blin,Morten Hjulmand,Assan Ceesay,1,0,Matchweek 2,2,-3.0,-1.0,-3.0,-1.0,0.0,0.0,0.0,0.0,4.2,4.0,1.75
14,14,14,Empoli,Guglielmo Vicario,Sam Lammers,Liam Henderson,Nedim Bajrami,Răzvan Marin,Mattia Destro,Filippo Bandinelli,Petar Stojanović,Sebastiano Luperto,Ardian Ismajli,Fabiano Parisi,Fiorentina,Pierluigi Gollini,Dodô,Nikola Milenković,Giacomo Bonaventura,Luka Jović,Riccardo Saponara,Jonathan Ikone,Youssef Maleh,Aleksa Terzić,Lucas Martínez Quarta,Rolando Mandragora,0,0,Matchweek 2,2,-1.0,1.0,-1.0,1.0,0.0,3.0,0.0,3.0,1.9,3.8,3.75
15,15,15,Napoli,Alex Meret,Kim Min-jae,Mário Rui,Victor Osimhen,Hirving Lozano,Amir Rrahmani,Piotr Zieliński,Giovanni Di Lorenzo,Stanislav Lobotka,Khvicha Kvaratskhelia,Andre-Frank Zambo Anguissa,Monza,Michele Di Gregorio,Marlon,Andrea Barberis,Stefano Sensi,Andrea Ranocchia,Gianluca Caprari,Samuele Birindelli,Filippo Ranocchia,Andrea Petagna,Andrea Carboni,Marco D'Alessandro,4,0,Matchweek 2,2,3.0,-1.0,3.0,-1.0,3.0,0.0,3.0,0.0,8.0,5.5,1.33
16,16,16,Bologna,Łukasz Skorupski,Riccardo Orsolini,Nicolás Domínguez,Marko Arnautović,Kevin Bonifazi,Gary Medel,Roberto Soriano,Lorenzo De Silvestri,Jerdy Schouten,Denso Kasius,Andrea Cambiaso,Hellas Verona,Lorenzo Montipò,Davide Faraoni,Darko Lazović,Thomas Henry,Kevin Lasagna,Ivan Ilić,Martin Hongla,Koray Günter,Diego Coppola,Panagiotis Retsos,Adrien Tameze,1,1,Matchweek 2,2,-1.0,-3.0,-1.0,-3.0,0.0,0.0,0.0,0.0,3.3,3.5,2.15
17,17,17,Atalanta,Juan Musso,Rafael Tolói,Joakim Mæhle,Teun Koopmeiners,Marten de Roon,Ruslan Malinovskyi,Berat Djimsiti,Merih Demiral,Hans Hateboer,Mario Pašalić,Duván Zapata,Milan,Mike Maignan,Davide Calabria,Ismaël Bennacer,Sandro Tonali,Brahim Díaz,Ante Rebić,Rafael Leão,Theo Hernández,Pierre Kalulu,Fikayo Tomori,Junior Messias,1,1,Matchweek 2,2,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,2.5,3.5,2.75
18,18,18,Roma,Rui Patrício,Rick Karsdorp,Roger Ibanez,Bryan Cristante,Chris Smalling,Lorenzo Pellegrini,Tammy Abraham,Paulo Dybala,Nicolò Zaniolo,Gianluca Mancini,Leonardo Spinazzola,Cremonese,Ionuț Radu,Emanuele Valeri,Emanuel Aiwum,Charles Pickel,Santiago Ascacíbar,Paolo Ghiglione,Vlad Chiricheș,Luka Lochoshvili,David Okereke,Cyriel Dessers,Luca Zanimacchia,1,0,Matchweek 2,2,1.0,-1.0,1.0,-1.0,3.0,0.0,3.0,0.0,11.0,6.5,1.25
19,19,19,Sampdoria,Emil Audero,Tommaso Augello,Filip Đuričić,Tomás Rincón,Francesco Caputo,Abdelhamid Sabiri,Ronaldo Vieira,Omar Colley,Bartosz Bereszyński,Alex Ferrari,Mehdi Léris,Juventus,Mattia Perin,Gleison Bremer,Manuel Locatelli,Danilo,Weston McKennie,Dušan Vlahović,Juan Cuadrado,Alex Sandro,Filip Kostić,Daniele Rugani,Adrien Rabiot,0,0,Matchweek 2,2,-2.0,3.0,-2.0,3.0,0.0,3.0,0.0,3.0,1.6,4.0,5.75
20,20,20,Monza,Michele Di Gregorio,Luca Caldirola,Mattia Valoti,Stefano Sensi,Gianluca Caprari,Samuele Birindelli,Andrea Colpani,Carlos Augusto,Luca Marrone,Andrea Petagna,Salvatore Molina,Udinese,Marco Silvestri,Adam Masina,Sandi Lovrić,Jean-Victor Makengo,Beto,Gerard Deulofeu,Walace,Destiny Udogie,Bram Nuytinck,Roberto Pereyra,Rodrigo Becão,1,2,Matchweek 3,3,-5.0,-2.0,-5.0,-2.0,0.0,1.0,0.0,1.0,2.3,3.4,3.1
21,21,21,Lazio,Ivan Provedel,Patric,Matías Vecino,Felipe Anderson,Alessio Romagnoli,Ciro Immobile,Mattia Zaccagni,Sergej Milinković-Savić,Manuel Lazzari,Danilo Cataldi,Adam Marušić,Inter,Samir Handanović,Denzel Dumfries,Roberto Gagliardini,Stefan de Vrij,Lautaro Martínez,Nicolò Barella,Federico Dimarco,Milan Škriniar,Marcelo Brozović,Romelu Lukaku,Alessandro Bastoni,3,1,Matchweek 3,3,1.0,4.0,1.0,4.0,4.0,6.0,4.0,6.0,1.83,3.8,4.0
22,22,22,Juventus,Wojciech Szczęsny,Mattia De Sciglio,Gleison Bremer,Manuel Locatelli,Danilo,Dušan Vlahović,Juan Cuadrado,Alex Sandro,Filip Kostić,Fabio Miretti,Adrien Rabiot,Roma,Rui Patrício,Rick Karsdorp,Roger Ibanez,Bryan Cristante,Chris Smalling,Lorenzo Pellegrini,Nemanja Matić,Tammy Abraham,Paulo Dybala,Gianluca Mancini,Leonardo Spinazzola,1,1,Matchweek 3,3,3.0,2.0,3.0,2.0,4.0,6.0,4.0,6.0,3.1,3.3,2.3
