,home_team_name,HomePlayer1,HomePlayer2,HomePlayer3,HomePlayer4,HomePlayer5,HomePlayer6,HomePlayer7,HomePlayer8,HomePlayer9,HomePlayer10,HomePlayer11,away_team_name,AwayPlayer1,AwayPlayer2,AwayPlayer3,AwayPlayer4,AwayPlayer5,AwayPlayer6,AwayPlayer7,AwayPlayer8,AwayPlayer9,AwayPlayer10,AwayPlayer11,matchweek,home_score,away_score
0,Benfica,Ederson,Lisandro López,Álex Grimaldo,Ljubomir Fejsa,André Horta,Victor Lindelöf,Eduardo Salvio,Gonçalo Guedes,Pizzi,Franco Cervi,Nélson Semedo,Beşiktaş,Tolga Zengin,Adriano,Duško Tošić,Ricardo Quaresma,Vincent Aboubakar,Atiba Hutchinson,Oğuzhan Özyakup,Marcelo,Andreas Beck,Gökhan Inler,Caner Erkin,Group stage,1,1
1,Bayern Munich,Manuel Neuer,Mats Hummels,Thiago Alcántara,Javi Martínez,Robert Lewandowski,Douglas Costa,Rafinha,Arturo Vidal,Thomas Müller,David Alaba,Joshua Kimmich,Rostov,Soslan Dzhanayev,Timofei Kalachev,Vladimir Granat,Denis Terentyev,Dmitry Poloz,Christian Noboa,Sardar Azmoun,Miha Mevlja,César Navas,Alexandru Gațcan,Aleksandr Erokhin,Group stage,5,0
2,Paris S-G,Alphonse Areola,Thiago Silva,Grzegorz Krychowiak,Marquinhos,Marco Verratti,Edinson Cavani,Ángel Di María,Blaise Matuidi,Maxwell,Serge Aurier,Adrien Rabiot,Arsenal,David Ospina,Laurent Koscielny,Alexis Sánchez,Mesut Özil,Alex Oxlade-Chamberlain,Alex Iwobi,Nacho Monreal,Santi Cazorla,Shkodran Mustafi,Héctor Bellerín,Francis Coquelin,Group stage,1,1
3,Barcelona,Marc-André ter Stegen,Gerard Piqué,Ivan Rakitić,Sergio Busquets,Luis Suárez,Lionel Messi,Neymar,Jordi Alba,Sergi Roberto,André Gomes,Samuel Umtiti,Celtic,Dorus de Vries,Kolo Touré,Nir Bitton,Scott Brown,Moussa Dembélé,Scott Sinclair,Cristian Gamboa,Mikael Lustig,Patrick Roberts,Erik Sviatchenko,Kieran Tierney,Group stage,7,0
4,PSV Eindhoven,Jeroen Zoet,Nicolas Isimat-Mirin,Héctor Moreno,Daniel Schwaab,Davy Pröpper,Jorrit Hendrix,Luuk de Jong,Luciano Narsingh,Jetro Willems,Andrés Guardado,Joshua Brenet,Atlético Madrid,Jan Oblak,Diego Godín,Filipe Luís,Koke,Antoine Griezmann,Saúl Ñíguez,Gabi,Juanfran,Kévin Gameiro,Nicolás Gaitán,José María Giménez,Group stage,0,1
5,Basel,Tomáš Vaclík,Adama Traoré,Michael Lang,Luca Zuffi,Birkir Bjarnason,Matías Emilio Delgado,Renato Steffen,Marek Suchý,Marc Janko,Éder Álvarez Balanta,Taulant Xhaka,Ludogorets,Vladislav Stoyanov,José Luis Palomino,Natanael,Anicet Abel,Svetoslav Dyakov,Jonathan Cafu,Yordan Minev,Cosmin Moți,Marcelinho,Wanderson,Virgil Misidjan,Group stage,1,1
6,Dynamo Kyiv,Oleksandr Shovkovskiy,Vitorino Antunes,Andriy Yarmolenko,Júnior Moraes,Viktor Tsyhankov,Serhiy Sydorchuk,Serhiy Rybalka,Denys Harmash,Domagoj Vida,Yevhen Makarenko,Yevhen Khacheridi,Napoli,Pepe Reina,Elseid Hysaj,Allan,José Callejón,Jorginho,Dries Mertens,Marek Hamšík,Kalidou Koulibaly,Faouzi Ghoulam,Raúl Albiol,Arkadiusz Milik,Group stage,1,2
7,Porto,Iker Casillas,Iván Marcano,André Silva,Óliver Torres,Alex Telles,Héctor Herrera,Jesús Corona,Miguel Layún,Danilo Pereira,Otávio,Felipe,FC Copenhagen,Robin Olsen,Ludwig Augustinsson,Erik Berg,William Kvist,Thomas Delaney,Andreas Cornelius,Ján Greguš,Federico Santander,Peter Ankersen,Youssef Toutouh,Mathias Jørgensen,Group stage,1,1
8,Tottenham,Hugo Lloris,Kyle Walker,Toby Alderweireld,Jan Vertonghen,Son Heung-min,Harry Kane,Érik Lamela,Eric Dier,Dele Alli,Christian Eriksen,Ben Davies,Monaco,Danijel Subašić,Fabinho,Jemerson,Nabil Dirar,João Moutinho,Radamel Falcao,Bernardo Silva,Tiemoué Bakayoko,Djibril Sidibé,Andrea Raggi,Kamil Glik,Group stage,1,2
9,Manchester City,Claudio Bravo,Pablo Zabaleta,Raheem Sterling,İlkay Gündoğan,Sergio Agüero,Aleksandar Kolarov,Jesús Navas,Kevin De Bruyne,John Stones,Fernandinho,Nicolás Otamendi,Gladbach,Yann Sommer,Andreas Christensen,Tobias Strobl,Christoph Kramer,Mahmoud Dahoud,Raffael,Lars Stindl,Oscar Wendt,Fabian Johnson,André Hahn,Nico Elvedi,Group stage,4,0
